sheet,row,part_number,description,quantity,qty_raw,requirement,notes
n-BMS w 100809,10,100684,Compact shunt (500A/50mV),1.0,1,optional,Optional
n-BMS w 100809,11,200500,n-BMS Unified Creator License FULL,1.0,1,,1 user
n-BMS w 100809,12,300500,n-BMS Unified SERVICE Tool,,x,optional,Optional. Needed mostly for series production. Up to 249 users. Alternative for 10 and 25 users
n-BMS w 100809,13,100545,Peak CAN adapter for n- and c-BMS,1.0,1,,Necessary for software setup but can be sourced externally
n3-BMS w 100809,6,100816,n3-BMS MCU,1.0,1,main,Main product
n3-BMS w 100809,7,100809,n-BMS CMU12/2 top mount isoSPI - 200mA balancing current,,1 - 30,,Number of CMUs depend on battery voltage (e.g.: 8 in a 96 channel system with 12 cells / module)
n3-BMS w 100809,8,100987,LiBAL n3-BMS MCU wirekit,1.0,1,optional,Optional. Same amount as MCUs.
n3-BMS w 100809,9,100985.1,LiBAL n-BMS CMU12/2 100809 wireharness kit (1700mm) shielded com cable,,1 - 30,optional,Optional. Same amount as number of CMUs
n3-BMS w 100809,10,000637,LEM Sensor DHAB- S/106 (20A/500A CH1/CH2 automotive),1.0,1,optional,Optional. Same amounts as MCU - Hall sensor with other current capabilities are available
n3-BMS w 100809,11,100683,Compact shunt (300A/50mV),1.0,1,optional,Optional
n3-BMS w 100809,12,200500,n-BMS Unified Creator License FULL,1.0,1,,1 user
n3-BMS w 100809,13,300500,n-BMS Unified SERVICE Tool,,x,optional,Optional. Needed mostly for series production. Up to 249 users. Alternative for 10 and 25 users
n3-BMS w 100809,14,100545,Peak CAN adapter for n- and c-BMS,1.0,1,,Necessary for software setup but can be sourced externally
n3-BMS w 101814,5,100816,n3-BMS MCU,1.0,1,main,Main product
n3-BMS w 101814,6,101814,n3-BMS CMU18/4 Flex top mount isoSPI - 200mA balancing current  (RELEASE Q3/2026),,1 - 30,,Number of CMUs depend on battery voltage (e.g.: 6 pcs CMU18 in a 96 channel system per module)
n3-BMS w 101814,7,100987,LiBAL n3-BMS MCU wirekit,1.0,1,optional,Optional. Same amount as MCUs.
n3-BMS w 101814,8,100985.1,LiBAL n-BMS CMU12/2 100809 wireharness kit (1700mm) shielded com cable,,1 - 30,optional,Optional. Same amount as number of CMUs
n3-BMS w 101814,9,100684,Compact shunt (500A/50mV),1.0,1,optional,Optional. Same amounts as MCU - Shunt
n3-BMS w 101814,10,000637,LEM Sensor DHAB- S/106 (20A/500A CH1/CH2 automotive),1.0,1,optional,Optional. Same amounts as MCU - Hall sensor with other current capabilities are available
n3-BMS w 101814,11,200500,n-BMS Unified Creator License FULL,1.0,1,,1 user
n3-BMS w 101814,12,300500,n-BMS Unified SERVICE Tool,,x,optional,Optional. Needed mostly for service after series production
n3-BMS w 101814,13,100545,Peak CAN adapter for n- and c-BMS,1.0,1,,Necessary for software setup but can be sourced externally
